budget_box_id	category_id	category_name	work_type_id	work_type_name	koushus_id	koushus_name	expense_id	expense_name	budget_amount	official_amount	start_month	end_month	note
C01-W04-K9901-E11	C01	直接工事費	W04	護岸・海岸工事	K9901	測量丁張工	E11	材料費	2243000		2025-10	2026-03
C01-W04-K9901-E12	C01	直接工事費	W04	護岸・海岸工事	K9901	測量丁張工	E12	機械経費	341000		2025-10	2026-03
C01-W04-K9901-E14	C01	直接工事費	W04	護岸・海岸工事	K9901	測量丁張工	E14	外注費	42936000		2025-10	2026-03
C02-F32	C02	共通仮設費				F32	調査・準備費	341000		2025-10	2026-03
C02-F35	C02	共通仮設費				F35	安全対策費	135000		2025-10	2026-03
C02-F36	C02	共通仮設費				F36	水道光熱費	147000		2025-10	2026-03
C02-F38	C02	共通仮設費				F38	役務費	297000		2025-10	2026-03
C02-F39	C02	共通仮設費				F39	営繕費	733000		2025-10	2026-03
C03-F51	C03	現場管理費				F51	労務管理費	7000		2025-10	2026-03
C03-F59	C03	現場管理費				F59	福利厚生費	10000		2025-10	2026-03
C03-F60	C03	現場管理費				F60	事務用品費	47000		2025-10	2026-03
C03-F61	C03	現場管理費				F61	旅費・交通費・通信費	143000		2025-10	2026-03
C03-F67	C03	現場管理費				F67	雑費	75000		2025-10	2026-03
