vendor_id	vendor_name	vendor_type	active
V001	(株)勝利商会	service	TRUE
V002	永瀬電業	supplier	TRUE
V003	(株)シーティーエス	service	TRUE
V004	(株)デザインアーク	service	TRUE
V005	(有)大建測量設計	service	TRUE
V006	(株)コマロック	subcontractor	TRUE
V007	(株)現場サポート	service	TRUE
V008	桜島生コンクリート(株)	supplier	TRUE
V009	(株)さかや	retail	TRUE
V010	(株)ニシケン	retail	TRUE
V011	(株)グリーンクロス	supplier	TRUE
V012	川越建設(株)	subcontractor	TRUE
V013	鹿児島仮設(株)	subcontractor	TRUE
V014	菱和コンクリート(株)	subcontractor	TRUE
V015	JGS	service	TRUE
V016	ナフコ	retail	TRUE
V017	アマゾン	retail	TRUE
V018	ダイソー	retail	TRUE
V019	ナカムラ薬局	retail	TRUE
V020	ドラッグストアモリ	retail	TRUE
V021	(有)濱畑水道	subcontractor	TRUE
V022	セカンドストリート	retail	TRUE
V023	コメリ	retail	TRUE
V024	ハンズマン	retail	TRUE
V025	環境保全建設(株)	subcontractor	TRUE
V026	(株)加根又本店	supplier	TRUE
V027	郵便局	retail	TRUE
V028	三基	retail	TRUE
V029	やまさき	retail	TRUE
